"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"372","53","14","25","0","12","14","25","0","12","15","22","0","12","15","22","0","12","42","41","0","12","42","41","0","12","48","44","20","22","28","34","0","12","29","27","17","21","12","16","0","12","58","43","46","39","12","18","0","12","166","61","146","61","20","27","0","12","1500000US371790202031","Block Group 1, Census Tract 202.03, Union County, North Carolina"
"794","98","0","12","0","12","0","12","0","12","30","23","30","23","0","12","0","12","67","46","35","37","32","40","0","12","73","51","58","47","15","19","0","12","101","63","41","46","60","46","0","12","158","71","113","63","45","42","0","12","365","95","333","89","32","37","0","12","1500000US371790202032","Block Group 2, Census Tract 202.03, Union County, North Carolina"
"438","87","0","12","0","12","0","12","0","12","24","23","9","15","15","18","0","12","60","39","46","31","14","22","0","12","83","56","39","39","44","42","0","12","90","45","68","39","22","25","0","12","95","57","62","40","33","51","0","12","86","49","86","49","0","12","0","12","1500000US371790202041","Block Group 1, Census Tract 202.04, Union County, North Carolina"
"227","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","12","8","12","0","12","0","12","39","25","39","25","0","12","0","12","33","31","33","31","0","12","0","12","80","42","57","35","23","35","0","12","67","41","67","41","0","12","0","12","1500000US371790202042","Block Group 2, Census Tract 202.04, Union County, North Carolina"
"335","79","22","24","0","12","0","12","22","24","12","20","0","12","12","20","0","12","69","42","47","34","22","22","0","12","36","31","25","23","11","19","0","12","31","30","21","25","10","17","0","12","43","32","43","32","0","12","0","12","122","56","122","56","0","12","0","12","1500000US371790202043","Block Group 3, Census Tract 202.04, Union County, North Carolina"
"705","93","3","5","0","12","3","5","0","12","101","79","20","20","81","76","0","12","89","50","50","40","39","33","0","12","74","41","43","29","31","29","0","12","143","73","58","33","85","60","0","12","137","58","137","58","0","12","0","12","158","63","134","57","24","39","0","12","1500000US371790203051","Block Group 1, Census Tract 203.05, Union County, North Carolina"
"731","104","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","59","59","15","22","44","54","0","12","27","29","2","9","25","27","0","12","191","96","65","50","126","83","0","12","107","55","74","47","33","28","0","12","347","112","347","112","0","12","0","12","1500000US371790203052","Block Group 2, Census Tract 203.05, Union County, North Carolina"
"695","117","3","7","0","12","0","12","3","7","53","69","8","14","45","67","0","12","85","59","32","40","53","46","0","12","121","70","66","59","55","48","0","12","190","93","103","48","87","81","0","12","97","57","97","57","0","12","0","12","146","68","146","68","0","12","0","12","1500000US371790203061","Block Group 1, Census Tract 203.06, Union County, North Carolina"
"273","91","0","12","0","12","0","12","0","12","10","16","0","12","10","16","0","12","58","75","10","16","48","71","0","12","84","81","0","12","84","81","0","12","20","32","20","32","0","12","0","12","74","67","74","67","0","12","0","12","27","30","27","30","0","12","0","12","1500000US371790203062","Block Group 2, Census Tract 203.06, Union County, North Carolina"
"702","162","0","12","0","12","0","12","0","12","115","112","0","12","115","112","0","12","32","40","0","12","32","40","0","12","147","100","111","93","36","49","0","12","107","76","72","65","35","35","0","12","79","62","79","62","0","12","0","12","222","123","222","123","0","12","0","12","1500000US371790203063","Block Group 3, Census Tract 203.06, Union County, North Carolina"
"552","146","0","12","0","12","0","12","0","12","13","21","13","21","0","12","0","12","41","50","0","12","41","50","0","12","58","66","25","41","33","49","0","12","219","115","187","107","32","42","0","12","152","104","111","87","41","61","0","12","69","57","69","57","0","12","0","12","1500000US371790203071","Block Group 1, Census Tract 203.07, Union County, North Carolina"
"903","126","0","12","0","12","0","12","0","12","8","15","0","12","8","15","0","12","67","59","67","59","0","12","0","12","65","58","5","11","60","55","0","12","293","130","173","95","120","90","0","12","244","136","244","136","0","12","0","12","226","96","216","96","10","19","0","12","1500000US371790203072","Block Group 2, Census Tract 203.07, Union County, North Carolina"
"537","132","13","23","0","12","13","23","0","12","42","46","0","12","42","46","0","12","86","83","55","76","31","37","0","12","101","65","40","45","61","57","0","12","78","64","46","50","32","39","0","12","93","74","93","74","0","12","0","12","124","108","124","108","0","12","0","12","1500000US371790203073","Block Group 3, Census Tract 203.07, Union County, North Carolina"
"304","104","3","7","0","12","3","7","0","12","40","48","0","12","40","48","0","12","22","27","0","12","22","27","0","12","28","33","9","16","19","29","0","12","75","64","69","62","6","21","0","12","101","96","101","96","0","12","0","12","35","39","35","39","0","12","0","12","1500000US371790203081","Block Group 1, Census Tract 203.08, Union County, North Carolina"
"806","138","10","17","0","12","10","17","0","12","45","44","17","27","28","33","0","12","104","75","16","19","88","73","0","12","106","83","22","21","84","79","0","12","163","68","129","62","34","33","0","12","217","116","178","105","39","60","0","12","161","100","161","100","0","12","0","12","1500000US371790203082","Block Group 2, Census Tract 203.08, Union County, North Carolina"
"430","82","12","19","12","19","0","12","0","12","8","13","0","12","8","13","0","12","30","25","14","18","16","19","0","12","47","38","9","15","38","35","0","12","100","63","100","63","0","12","0","12","95","48","95","48","0","12","0","12","138","68","123","64","15","23","0","12","1500000US371790203083","Block Group 3, Census Tract 203.08, Union County, North Carolina"
"811","72","10","12","0","12","4","6","6","10","141","85","14","23","127","87","0","12","94","55","19","23","75","57","0","12","21","21","15","17","6","11","0","12","91","49","65","42","26","29","0","12","224","70","190","72","34","31","0","12","230","66","230","66","0","12","0","12","1500000US371790203091","Block Group 1, Census Tract 203.09, Union County, North Carolina"
"645","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","25","9","15","15","22","0","12","50","45","35","35","15","25","0","12","77","59","50","49","27","32","0","12","91","50","57","39","34","32","0","12","403","94","344","97","59","47","0","12","1500000US371790203101","Block Group 1, Census Tract 203.10, Union County, North Carolina"
